Fecha;HORA;PAB01_PTR_I02_PV;Presion;timestamp;tspan
03/10/2022;10:10:00;1.57434;0.15439001361;2022-10-03 10:10:00;20.33333333333333
03/10/2022;10:20:00;1.63366;0.16020731839;2022-10-03 10:20:00;20.666666666666668
03/10/2022;10:30:00;1.58974;0.15590023771;2022-10-03 10:30:00;21.0
03/10/2022;10:40:00;1.60044;0.15694954926;2022-10-03 10:40:00;21.33333333333333
03/10/2022;10:50:00;1.60862;0.15775173323;2022-10-03 10:50:00;21.666666666666668
03/10/2022;11:00:00;1.57977;0.154922514705;2022-10-03 11:00:00;22.0
03/10/2022;11:10:00;1.60551;0.157446746415;2022-10-03 11:10:00;22.33333333333333
03/10/2022;11:20:00;1.57658;0.15460968257;2022-10-03 11:20:00;22.666666666666668
03/10/2022;11:30:00;1.58651;0.155583482915;2022-10-03 11:30:00;23.0
03/10/2022;11:40:00;1.58326;0.1552647667899999;2022-10-03 11:40:00;23.33333333333333
03/10/2022;11:50:00;1.56802;0.15377023333;2022-10-03 11:50:00;23.666666666666668
03/10/2022;12:00:00;1.5831;0.15524907615;2022-10-03 12:00:00;24.0
03/10/2022;12:10:00;2.72984;0.26770585436;2022-10-03 12:10:00;24.33333333333333
03/10/2022;12:20:00;3.43714;0.33706828981;2022-10-03 12:20:00;24.666666666666668
03/10/2022;12:30:00;3.72056;0.3648622972399999;2022-10-03 12:30:00;25.0
03/10/2022;12:40:00;3.83197;0.375787886005;2022-10-03 12:40:00;25.33333333333333
03/10/2022;12:50:00;3.89094;0.38157086751;2022-10-03 12:50:00;25.666666666666668
03/10/2022;13:00:00;3.92009;0.384429505985;2022-10-03 13:00:00;26.0
03/10/2022;13:10:00;3.93527;0.385918155455;2022-10-03 13:10:00;26.33333333333333
03/10/2022;13:20:00;3.94335;0.386710532775;2022-10-03 13:20:00;26.666666666666668
03/10/2022;13:30:00;3.94864;0.38722930456;2022-10-03 13:30:00;27.0
03/10/2022;13:40:00;3.98365;0.3906626127249999;2022-10-03 13:40:00;27.33333333333333
